Date	Time	Cause	IP	Name	User agent	Request method	Request URI	Comment
2011-05-23	06:22:07	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/component/option,com_camassistant/Itemid,125/controller,rfpcenter/lang,en/components/com_camassistant/skin/js/jquery-1.4.4.min.js	35 requests in less than 10 seconds (max = 10)
2011-05-23	06:22:07	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/component/option,com_camassistant/Itemid,125/controller,rfpcenter/lang,en/components/com_camassistant/skin1/css/jquery1.css	34 requests in less than 10 seconds (max = 10)
2011-05-23	06:22:07	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/component/option,com_camassistant/Itemid,125/controller,rfpcenter/lang,en/components/com_camassistant/skin/js/jquery-ui-1.8.6.custom.min.js	36 requests in less than 10 seconds (max = 10)
2011-05-23	06:22:08	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/component/option,com_camassistant/Itemid,125/controller,rfpcenter/lang,en/components/com_camassistant/skin/js/jquery-ui-timepicker-addon.js	37 requests in less than 10 seconds (max = 10)
2011-05-23	06:22:09	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/component/option,com_camassistant/Itemid,125/controller,rfpcenter/lang,en/templates/camassistant_inner/images/blue-small.gif	37 requests in less than 10 seconds (max = 10)
2011-05-23	06:22:09	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/component/option,com_camassistant/Itemid,125/controller,rfpcenter/lang,en/modules/mod_fontsize/js/md_stylechanger.js	38 requests in less than 10 seconds (max = 10)
2011-05-23	06:22:10	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/component/option,com_camassistant/Itemid,125/controller,rfpcenter/lang,en/images/S.gif	34 requests in less than 10 seconds (max = 10)
2011-05-23	06:22:10	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/component/option,com_camassistant/Itemid,125/controller,rfpcenter/lang,en/images/L.gif	35 requests in less than 10 seconds (max = 10)
2011-05-23	06:22:10	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/component/option,com_camassistant/Itemid,125/controller,rfpcenter/lang,en/images/M.gif	36 requests in less than 10 seconds (max = 10)
2011-05-23	06:22:10	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/component/option,com_camassistant/Itemid,125/controller,rfpcenter/lang,en/templates/camassistant/images/view-videos_green.gif	39 requests in less than 10 seconds (max = 10)
2011-05-23	06:22:10	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/component/option,com_camassistant/Itemid,125/controller,rfpcenter/lang,en/templates/camassistant/images/signup_button.gif	37 requests in less than 10 seconds (max = 10)
2011-05-23	06:22:10	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/component/option,com_camassistant/Itemid,125/controller,rfpcenter/lang,en/templates/camassistant/images/view-videos_blue.gif	38 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:28	Page not found (404)	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/Dashboard.html	http://www.camassistant.com/cms/
2011-05-24	00:27:29	Page not found (404)	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/templates/camassistant/favicon.ico
2011-05-24	00:27:30	Page not found (404)	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/media/system/js/mootools.js	http://www.camassistant.com/cms/index.php/Dashboard.html
2011-05-24	00:27:30	Page not found (404)	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/plugins/system/rokbox/themes/light/rokbox-style.css	http://www.camassistant.com/cms/index.php/Dashboard.html
2011-05-24	00:27:30	Page not found (404)	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/media/system/js/caption.js	http://www.camassistant.com/cms/index.php/Dashboard.html
2011-05-24	00:27:31	Page not found (404)	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/media/system/css/modal.css	http://www.camassistant.com/cms/index.php/Dashboard.html
2011-05-24	00:27:31	Page not found (404)	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/includes/js/joomla.javascript.js	http://www.camassistant.com/cms/index.php/Dashboard.html
2011-05-24	00:27:31	Page not found (404)	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/plugins/system/rokbox/rokbox.js	http://www.camassistant.com/cms/index.php/Dashboard.html
2011-05-24	00:27:33	Page not found (404)	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/media/system/js/modal.js	http://www.camassistant.com/cms/index.php/Dashboard.html
2011-05-24	00:27:33	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/templates/camassistant/favicon.ico	11 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:33	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/plugins/system/rokbox/themes/light/rokbox-config.js	10 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:34	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/templates/camassistant/css/stylesheet.css	12 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:34	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/templates/camassistant/css/menu.css	13 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:34	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/templates/camassistant/css/style.css	14 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:34	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/templates/camassistant/js/uispinner.js	15 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:35	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/templates/camassistant/js/jquery.js	16 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:35	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/templates/camassistant/js/jquery-latest.js	17 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:35	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/templates/camassistant/js/core.js	18 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:36	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/components/com_camassistant/skin1/css/jquery1.css	18 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:36	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/components/com_camassistant/skin/js/jquery-ui-1.8.6.custom.min.js	19 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:36	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/components/com_camassistant/skin/js/jquery-1.4.4.min.js	20 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:36	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/components/com_camassistant/skin/js/jquery-ui-timepicker-addon.js	21 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:36	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/modules/mod_fontsize/js/md_stylechanger.js	22 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:37	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/media/system/js/caption.js	23 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:38	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/plugins/system/rokbox/rokbox.js	24 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:39	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/plugins/system/rokbox/themes/light/rokbox-config.js	24 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:40	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/media/system/js/modal.js	24 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:41	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/templates/camassistant/css/stylesheet.css	22 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:41	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/templates/camassistant/css/menu.css	22 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:41	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/templates/camassistant/js/uispinner.js	23 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:41	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/templates/camassistant/js/jquery-latest.js	24 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:41	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/templates/camassistant/css/style.css	25 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:41	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/templates/camassistant/js/jquery.js	26 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:42	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/templates/camassistant/js/core.js	24 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:42	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/media/system/css/modal.css	25 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:42	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/media/system/js/modal.js	26 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:43	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/templates/camassistant/images/bodyblue_bg.gif	27 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:43	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/components/com_camassistant/skin/js/jquery-1.4.4.min.js	28 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:43	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/components/com_camassistant/skin1/css/jquery1.css	29 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:43	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/templates/camassistant/images/bodygreen_bg.gif	30 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:43	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/templates/camassistant/images/camassistant.gif	31 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:44	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/components/com_camassistant/skin/js/jquery-ui-1.8.6.custom.min.js	29 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:45	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/components/com_camassistant/skin/js/jquery-ui-timepicker-addon.js	26 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:46	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/modules/mod_fontsize/js/md_stylechanger.js	24 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:46	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/templates/camassistant_inner/images/blue-small.gif	25 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:46	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/images/M.gif	26 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:46	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/images/S.gif	27 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:47	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/images/L.gif	23 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:47	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/templates/camassistant/images/signup_button.gif	24 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:47	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/templates/camassistant/images/view-videos_green.gif	25 requests in less than 10 seconds (max = 10)
2011-05-24	00:27:47	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5	GET	/cms/index.php/templates/camassistant/images/view-videos_blue.gif	26 requests in less than 10 seconds (max = 10)
2011-05-24	00:28:12	Page not found (404)	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	GET	/cms/Createrfp.html	http://www.camassistant.com/cms/index.php?option=com_camassistant&controller=rfpcenter&task=dashboard&Itemid=125
2011-05-24	00:28:14	Page not found (404)	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	GET	/cms/plugins/system/rokbox/rokbox.js	http://www.camassistant.com/cms/index.php/Createrfp.html
2011-05-24	00:28:14	Page not found (404)	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	GET	/cms/plugins/system/rokbox/themes/light/rokbox-style-ie8.css	http://www.camassistant.com/cms/index.php/Createrfp.html
2011-05-24	00:28:14	Page not found (404)	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	GET	/cms/plugins/system/rokbox/themes/light/rokbox-style.css	http://www.camassistant.com/cms/index.php/Createrfp.html
2011-05-24	00:28:15	Page not found (404)	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	GET	/cms/includes/js/joomla.javascript.js	http://www.camassistant.com/cms/index.php/Createrfp.html
2011-05-24	00:28:15	Page not found (404)	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	GET	/cms/plugins/system/rokbox/themes/light/rokbox-config.js	http://www.camassistant.com/cms/index.php/Createrfp.html
2011-05-24	00:28:16	Page not found (404)	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	GET	/cms/media/system/css/modal.css	http://www.camassistant.com/cms/index.php/Createrfp.html
2011-05-24	00:28:16	Page not found (404)	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	GET	/cms/media/system/js/caption.js	http://www.camassistant.com/cms/index.php/Createrfp.html
2011-05-24	00:28:16	Page not found (404)	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	GET	/cms/media/system/js/modal.js	http://www.camassistant.com/cms/index.php/Createrfp.html
2011-05-24	00:28:17	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	GET	/cms/index.php/media/system/js/mootools.js	10 requests in less than 10 seconds (max = 10)
2011-05-24	00:28:17	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	GET	/cms/index.php/templates/camassistant/css/menu.css	11 requests in less than 10 seconds (max = 10)
2011-05-24	00:28:17	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	GET	/cms/index.php/templates/camassistant/css/stylesheet.css	12 requests in less than 10 seconds (max = 10)
2011-05-24	00:28:17	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	GET	/cms/index.php/templates/camassistant/css/style.css	13 requests in less than 10 seconds (max = 10)
2011-05-24	00:28:18	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	GET	/cms/index.php/templates/camassistant/js/uispinner.js	14 requests in less than 10 seconds (max = 10)
2011-05-24	00:28:18	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	GET	/cms/index.php/templates/camassistant/js/jquery.js	15 requests in less than 10 seconds (max = 10)
2011-05-24	00:28:18	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	GET	/cms/index.php/templates/camassistant/js/core.js	16 requests in less than 10 seconds (max = 10)
2011-05-24	00:28:18	Flooding	182.72.145.2	NSG-Static-002.145.72.182.airtel.in	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	GET	/cms/index.php/templates/camassistant/js/jquery-latest.js	17 requests in less than 10 seconds (max = 10)
